task,condition,n,mean,sd,cv,range,n_distinct,exact_match_rate,cat_agreement,validity_rate,abs_err_ref
T1,C0,10,-0.11757,0.00000,0.0000,0.00000,1,1.000,1.000,1.000,0.00003
T1,C1,10,-0.11757,0.00000,0.0000,0.00000,1,1.000,1.000,1.000,0.00003
T1,C2,10,-0.11757,0.00000,0.0000,0.00000,1,1.000,1.000,1.000,0.00003
T1,C3,10,-0.11757,0.00000,0.0000,0.00000,1,1.000,1.000,1.000,0.00003
T1,C4,10,-0.11757,0.00000,0.0000,0.00000,1,1.000,1.000,1.000,0.00003
T2,C0,10,0.88673,0.00613,0.0069,0.01230,2,0.500,0.100,0.500,0.00613
T2,C1,10,0.89254,0.00895,0.0100,0.02985,3,0.600,0.400,0.300,0.01194
T2,C2,10,0.88538,0.00864,0.0098,0.02719,3,0.500,0.100,0.400,0.00478
T2,C3,10,0.88060,0.00000,0.0000,0.00000,1,1.000,0.200,1.000,0.00000
T2,C4,10,0.88060,0.00000,0.0000,0.00000,1,1.000,0.200,1.000,0.00000
T3,C0,10,0.66967,0.00000,0.0000,0.00000,1,1.000,0.600,1.000,0.00003
T3,C1,10,0.66967,0.00000,0.0000,0.00000,1,1.000,0.500,1.000,0.00003
T3,C2,10,0.66967,0.00000,0.0000,0.00000,1,1.000,0.200,1.000,0.00003
T3,C3,10,0.66967,0.00000,0.0000,0.00000,1,1.000,0.100,1.000,0.00003
T3,C4,10,0.66967,0.00000,0.0000,0.00000,1,1.000,0.200,1.000,0.00003
T4,C0,10,3.29521,0.00000,0.0000,0.00000,1,1.000,0.100,0.000,0.16899
T4,C1,10,3.29521,0.00000,0.0000,0.00000,1,1.000,0.200,0.000,0.16899
T4,C2,10,3.46419,0.00000,0.0000,0.00000,1,1.000,0.200,1.000,0.00001
T4,C3,10,3.46419,0.00000,0.0000,0.00000,1,1.000,0.100,1.000,0.00001
T4,C4,10,3.46419,0.00000,0.0000,0.00000,1,1.000,0.200,1.000,0.00001
