run_id,arm,dataset,provider,model,rep,value,n,correct,error
none_home_openai_r2,none,home,openai,gpt-4.1,2,33.775866,4,False,
none_home_openai_r5,none,home,openai,gpt-4.1,5,33.77586582256245,4,False,
none_home_openai_r4,none,home,openai,gpt-4.1,4,3.2952064217134107,41,False,
none_home_openai_r1,none,home,openai,gpt-4.1,1,33.77586582256245,4,False,
none_home_openai_r3,none,home,openai,gpt-4.1,3,3.2952,41,False,
none_home_openai_r6,none,home,openai,gpt-4.1,6,33.77586582256245,4,False,
none_renamed_openai_r1,none,renamed,openai,gpt-4.1,1,3.4641913664166615,39,True,
none_renamed_openai_r3,none,renamed,openai,gpt-4.1,3,3.2952064217134107,41,False,
none_renamed_openai_r2,none,renamed,openai,gpt-4.1,2,3.2952,41,False,
none_renamed_openai_r4,none,renamed,openai,gpt-4.1,4,3.295206,41,False,
none_renamed_openai_r5,none,renamed,openai,gpt-4.1,5,3.2952064217134107,41,False,
none_renamed_openai_r6,none,renamed,openai,gpt-4.1,6,,,,"noparse:uq0.py"", line 26
    ""Fish identified by:
    ^
SyntaxError: unterminated string literal (detected at line 26)"
none_long_openai_r3,none,long,openai,gpt-4.1,3,0.1157698914226648,1167,False,
none_long_openai_r2,none,long,openai,gpt-4.1,2,nan,0,False,
none_long_openai_r1,none,long,openai,gpt-4.1,1,942.0003931379557,2798,False,
none_long_openai_r6,none,long,openai,gpt-4.1,6,nan,0,False,
skill_home_openai_r1,skill,home,openai,gpt-4.1,1,3.4641913664166615,39,True,
skill_home_openai_r2,skill,home,openai,gpt-4.1,2,3.4641913664166615,39,True,
none_long_openai_r5,none,long,openai,gpt-4.1,5,0.1157698914226648,1167,False,
skill_home_openai_r3,skill,home,openai,gpt-4.1,3,3.4641913664166615,39,True,
skill_home_openai_r4,skill,home,openai,gpt-4.1,4,3.4641913664166615,39,True,
none_long_openai_r4,none,long,openai,gpt-4.1,4,0.116,1167,False,
skill_home_openai_r6,skill,home,openai,gpt-4.1,6,3.4641913664166615,39,True,
skill_renamed_openai_r1,skill,renamed,openai,gpt-4.1,1,3.4641913664166615,39,True,
skill_home_openai_r5,skill,home,openai,gpt-4.1,5,3.464191,39,True,
skill_renamed_openai_r2,skill,renamed,openai,gpt-4.1,2,3.4641913664166615,39,True,
skill_renamed_openai_r3,skill,renamed,openai,gpt-4.1,3,3.4641913664166615,39,True,
skill_renamed_openai_r5,skill,renamed,openai,gpt-4.1,5,3.4641913664166615,39,True,
skill_renamed_openai_r4,skill,renamed,openai,gpt-4.1,4,,,,"noparse:ass_column\"":\""biomass_g\"",\""groupby\"":[\""site_code\"",\""replicate\""],\""skip_biomass_invalid\"":true}"", ""n"": 39}"
skill_renamed_openai_r6,skill,renamed,openai,gpt-4.1,6,3.4641913664166615,39,True,
skill_long_openai_r2,skill,long,openai,gpt-4.1,2,nan,0,False,
skill_long_openai_r1,skill,long,openai,gpt-4.1,1,nan,0,False,
skill_long_openai_r6,skill,long,openai,gpt-4.1,6,0,0,False,
skill_long_openai_r3,skill,long,openai,gpt-4.1,3,nan,0,False,
skill_long_openai_r5,skill,long,openai,gpt-4.1,5,nan,0,False,
skill_long_openai_r4,skill,long,openai,gpt-4.1,4,0.0,0,False,
code_home_openai_r1,code,home,openai,gpt-4.1,1,3.4641913664166615,39,True,
code_home_openai_r3,code,home,openai,gpt-4.1,3,3.4641913664166615,39,True,
code_home_openai_r2,code,home,openai,gpt-4.1,2,3.46419,39,True,
code_home_openai_r5,code,home,openai,gpt-4.1,5,3.4641913664166615,39,True,
code_home_openai_r4,code,home,openai,gpt-4.1,4,3.4641913664166615,39,True,
code_home_openai_r6,code,home,openai,gpt-4.1,6,3.4641913664166615,39,True,
code_renamed_openai_r1,code,renamed,openai,gpt-4.1,1,3.2952064217134107,41,False,
code_renamed_openai_r2,code,renamed,openai,gpt-4.1,2,3.2952064217134107,41,False,
code_renamed_openai_r4,code,renamed,openai,gpt-4.1,4,3.4641913664166615,39,True,
code_renamed_openai_r3,code,renamed,openai,gpt-4.1,3,3.4641913664166615,39,True,
code_renamed_openai_r5,code,renamed,openai,gpt-4.1,5,3.2952064217134107,41,False,
code_renamed_openai_r6,code,renamed,openai,gpt-4.1,6,3.4641913664166615,39,True,
code_long_openai_r1,code,long,openai,gpt-4.1,1,nan,0,False,
code_long_openai_r2,code,long,openai,gpt-4.1,2,6428578.292682927,41,False,
code_long_openai_r3,code,long,openai,gpt-4.1,3,63958.23170731707,41,False,
code_long_openai_r4,code,long,openai,gpt-4.1,4,420.8292682926829,41,False,
code_long_openai_r5,code,long,openai,gpt-4.1,5,72232.46458536586,41,False,
code_long_openai_r6,code,long,openai,gpt-4.1,6,3.295,41,False,
none_home_google_r1,none,home,google,gemini-pro-latest,1,3.216749125958329,42,False,
none_home_google_r2,none,home,google,gemini-pro-latest,2,3.216749125958329,42,False,
none_home_google_r3,none,home,google,gemini-pro-latest,3,3.216749125958329,42,False,
none_home_google_r5,none,home,google,gemini-pro-latest,5,3.377586582256245,40,False,
none_home_google_r4,none,home,google,gemini-pro-latest,4,3.216749125958329,42,False,
none_home_google_r6,none,home,google,gemini-pro-latest,6,1.6679439912376524,81,False,
none_renamed_google_r1,none,renamed,google,gemini-pro-latest,1,3.2952064217134107,41,False,
none_renamed_google_r3,none,renamed,google,gemini-pro-latest,3,3.216749125958329,42,False,
none_renamed_google_r2,none,renamed,google,gemini-pro-latest,2,3.2952064217134107,41,False,
none_renamed_google_r5,none,renamed,google,gemini-pro-latest,5,3.2952064217134107,41,False,
none_renamed_google_r4,none,renamed,google,gemini-pro-latest,4,3.216749125958329,42,False,
none_long_google_r2,none,long,google,gemini-pro-latest,2,3.2952064217134107,41,False,
none_long_google_r1,none,long,google,gemini-pro-latest,1,3.2952064217134107,41,False,
none_renamed_google_r6,none,renamed,google,gemini-pro-latest,6,3.216749125958329,42,False,
none_long_google_r4,none,long,google,gemini-pro-latest,4,3.2952064217134107,41,False,
skill_home_google_r1,skill,home,google,gemini-pro-latest,1,3.4641913664166615,39,True,
none_long_google_r3,none,long,google,gemini-pro-latest,3,3.2952064217134107,41,False,
none_long_google_r5,none,long,google,gemini-pro-latest,5,3.2952064217134107,41,False,
none_long_google_r6,none,long,google,gemini-pro-latest,6,3.2952064217134107,41,False,
skill_home_google_r2,skill,home,google,gemini-pro-latest,2,3.4641913664166615,39,True,
skill_home_google_r4,skill,home,google,gemini-pro-latest,4,3.4641913664166615,39,True,
skill_home_google_r3,skill,home,google,gemini-pro-latest,3,3.4641913664166615,39,True,
skill_home_google_r5,skill,home,google,gemini-pro-latest,5,3.4641913664166615,39,True,
skill_home_google_r6,skill,home,google,gemini-pro-latest,6,3.4641913664166615,39,True,
skill_renamed_google_r1,skill,renamed,google,gemini-pro-latest,1,3.4641913664166615,39,True,
skill_renamed_google_r3,skill,renamed,google,gemini-pro-latest,3,3.4641913664166615,39,True,
skill_renamed_google_r5,skill,renamed,google,gemini-pro-latest,5,3.4641913664166615,39,True,
skill_renamed_google_r4,skill,renamed,google,gemini-pro-latest,4,3.4641913664166615,39,True,
skill_renamed_google_r2,skill,renamed,google,gemini-pro-latest,2,3.4641913664166615,39,True,
skill_long_google_r2,skill,long,google,gemini-pro-latest,2,0.0,0,False,
skill_long_google_r1,skill,long,google,gemini-pro-latest,1,nan,0,False,
skill_renamed_google_r6,skill,renamed,google,gemini-pro-latest,6,3.4641913664166615,39,True,
code_home_google_r1,code,home,google,gemini-pro-latest,1,3.4641913664166615,39,True,
code_home_google_r2,code,home,google,gemini-pro-latest,2,3.4641913664166615,39,True,
skill_long_google_r6,skill,long,google,gemini-pro-latest,6,0.0,0,False,
skill_long_google_r5,skill,long,google,gemini-pro-latest,5,0.0,39,False,
code_home_google_r4,code,home,google,gemini-pro-latest,4,3.4641913664166615,39,True,
skill_long_google_r3,skill,long,google,gemini-pro-latest,3,0.0,39,False,
code_home_google_r5,code,home,google,gemini-pro-latest,5,3.4641913664166615,39,True,
code_home_google_r3,code,home,google,gemini-pro-latest,3,3.4641913664166615,39,True,
code_home_google_r6,code,home,google,gemini-pro-latest,6,3.4641913664166615,39,True,
code_renamed_google_r1,code,renamed,google,gemini-pro-latest,1,3.4641913664166615,39,True,
code_renamed_google_r2,code,renamed,google,gemini-pro-latest,2,3.4641913664166615,39,True,
skill_long_google_r4,skill,long,google,gemini-pro-latest,4,0.0,0,False,
code_renamed_google_r3,code,renamed,google,gemini-pro-latest,3,3.4641913664166615,39,True,
code_renamed_google_r6,code,renamed,google,gemini-pro-latest,6,3.4641913664166615,39,True,
code_renamed_google_r4,code,renamed,google,gemini-pro-latest,4,3.4641913664166615,39,True,
code_long_google_r1,code,long,google,gemini-pro-latest,1,3.2952064217134107,41,False,
code_renamed_google_r5,code,renamed,google,gemini-pro-latest,5,3.4641913664166615,39,True,
code_long_google_r4,code,long,google,gemini-pro-latest,4,0.0,41,False,
code_long_google_r3,code,long,google,gemini-pro-latest,3,nan,0,False,
code_long_google_r6,code,long,google,gemini-pro-latest,6,3.2952064217134107,41,False,
code_long_google_r5,code,long,google,gemini-pro-latest,5,0.0,41,False,
code_long_google_r2,code,long,google,gemini-pro-latest,2,3.2952064217134107,41,False,
